Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1947-48,22,BLB,BAA,,37,NA,NA,142,408,0.348,104,157,0.662,NA,23,123,388
1949-50,24,BLB,NBA,,60,NA,NA,312,914,0.341,242,364,0.665,NA,161,234,866
1950-51,25,BLB,NBA,,41,NA,NA,127,399,0.318,105,156,0.673,202,111,135,359
1952-53,27,BLB,NBA,SG,69,NA,1955,240,656,0.366,224,342,0.655,317,237,282,704
1953-54,28,BLB,NBA,PG,72,NA,2505,253,761,0.332,217,303,0.716,486,285,271,723
1954-55,29,TOT,NBA,SG,38,NA,670,65,216,0.301,64,93,0.688,124,94,93,194
1954-55,29,BLB,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,29,NYK,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,29,PHW,NBA,SG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,TOT,,317,NA,5130,1139,3354,0.34,956,1415,0.676,1129,911,1138,3234
,NA,,NBA,,280,NA,5130,997,2946,0.338,852,1258,0.677,1129,888,1015,2846
,NA,,BAA,,37,NA,NA,142,408,0.348,104,157,0.662,NA,23,123,388
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,BLB,BAA,,279,NA,4460,1074,3138,0.342,892,1322,0.675,1005,817,1045,3040
1 season,NA,PHW,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NYK,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
