Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Paul Hoffman,,4.7,4.1,2.2,1.1,0.8,NA
Wali Jones,87.5,4,4,2.5,1.3,0.8,0.3
Allen Crabbe,87.4,4.3,4.2,3.2,1.3,0.8,0.1
Doug West,86.8,4.6,4.3,2.6,1.8,1.2,-0.1
Martell Webster,86.5,4.4,3.5,1.8,1.3,0.9,0
Avery Johnson,86.0,5.2,4.1,1.6,1.3,0.5,0.3
Fred Jones,85.5,4.8,4,2.6,2.2,1.2,0
Al Smith,85.4,4.5,3.3,1.8,0.9,0.6,NA
Billy Kenville,85.1,4.5,3.9,3,1.4,0.5,0.4
Tyler Johnson,84.1,5.8,4.2,2.3,2,0.8,NA
Matt Guokas,84.0,4.7,4.2,2.5,2.3,1.2,0.5
