Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1947-48,22,BLB,BAA,,37,NA,NA,NA,NA,0.348,NA,NA,0.662,NA,NA,NA,NA
1949-50,24,BLB,NBA,,60,NA,NA,NA,NA,0.341,NA,NA,0.665,NA,NA,NA,NA
1950-51,25,BLB,NBA,,41,NA,NA,NA,NA,0.318,NA,NA,0.673,NA,NA,NA,NA
1952-53,27,BLB,NBA,SG,69,NA,1955,4.4,12.1,0.366,4.1,6.3,0.655,5.8,4.4,5.2,13
1953-54,28,BLB,NBA,PG,72,NA,2505,3.6,10.9,0.332,3.1,4.4,0.716,7,4.1,3.9,10.4
1954-55,29,TOT,NBA,SG,38,NA,670,3.5,11.6,0.301,3.4,5,0.688,6.7,5.1,5,10.4
1954-55,29,BLB,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,29,NYK,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,29,PHW,NBA,SG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,TOT,,317,NA,5130,3.9,11.5,0.34,3.5,5.2,0.676,6.5,4.3,4.5,11.4
,NA,,NBA,,280,NA,5130,3.9,11.5,0.338,3.5,5.2,0.677,6.5,4.3,4.5,11.4
,NA,,BAA,,37,NA,NA,NA,NA,0.348,NA,NA,0.662,NA,NA,NA,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,BLB,BAA,,279,NA,4460,4,11.4,0.342,3.6,5.2,0.675,6.5,4.2,4.5,11.5
1 season,NA,PHW,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NYK,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
