Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Paul Hoffman,,4.7,4.1,2.2,1.1,0.8,NA,NA,NA,NA,NA
Allen Crabbe,87.4,4.3,4.2,3.2,1.3,0.8,0.1,NA,NA,NA,NA
Roger Mason,85.9,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1
Al Smith,85.4,4.5,3.3,1.8,0.9,0.6,NA,NA,NA,NA,NA
Billy Kenville,85.1,4.5,3.9,3,1.4,0.5,0.4,NA,NA,NA,NA
Tyler Johnson,84.1,5.8,4.2,2.3,2,0.8,NA,NA,NA,NA,NA
Al Skinner,83.4,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA,NA
Andre Roberson,82.5,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA,NA
Slick Watts,81.9,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA,NA
Keith Askins,80.6,4.4,4.3,1.9,1.4,0.7,0.7,0.6,0.3,0.2,NA
Al Wood,80.4,4.4,4.2,2.5,2.3,1,0.9,NA,NA,NA,NA
