Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,TOV,PF,PTS
1967-68,22,KEN,ABA,SF,1,NA,7:00,1,2,0.5,0,0,NA,2,6,0.333,2,4,0,1,0,4
Career,NA,,ABA,,1,NA,7,1,2,0.5,0,0,NA,2,6,0.333,2,4,0,1,0,4
