Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,22,KEN,ABA,SF,75,2325,15.3,0.486,0.002,0.47,NA,NA,12.8,8.5,17.5,20.9,NA,2.6,3.1,5.7,0.119
1968-69,23,TOT,ABA,PF,79,2353,10.3,0.48,0.002,0.397,NA,NA,10.8,6.1,20,18.9,NA,0.9,1.7,2.6,0.053
1968-69,23,KEN,ABA,PF,31,759,7.3,0.46,0.004,0.402,NA,NA,10.5,6.5,24.1,19,NA,0,0.9,0.9,0.054
1968-69,23,NYA,ABA,PF,48,1594,11.7,0.489,0.002,0.395,NA,NA,10.9,5.9,18,18.9,NA,0.9,0.8,1.8,0.053
1969-70,24,CAR,ABA,PF,84,2558,11.7,0.491,0.005,0.345,NA,NA,12.4,9,20.2,17.6,NA,1.3,3.4,4.7,0.088
1970-71,25,CAR,ABA,PF,83,2353,12.2,0.517,0.01,0.302,NA,NA,11.9,6.3,15.9,16.4,NA,2,1.7,3.7,0.075
Career,NA,,ABA,,321,9589,12.3,0.493,0.005,0.381,NA,NA,12,7.5,18.5,18.4,NA,6.8,9.9,16.7,0.084
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CAR,ABA,,167,4911,11.9,0.503,0.007,0.324,NA,NA,12.2,7.7,18.2,17,NA,3.3,5.1,8.4,0.082
2 seasons,NA,KEN,ABA,,106,3084,13.4,0.481,0.003,0.455,NA,NA,12.2,8,19.1,20.4,NA,2.6,4,6.6,0.103
1 season,NA,NYA,ABA,,48,1594,11.7,0.489,0.002,0.395,NA,NA,10.9,5.9,18,18.9,NA,0.9,0.8,1.8,0.053
