Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Randolph Mahaffey,,5.7,4.7,3.7,2.6,NA,NA
Larry Nance,94.9,5.8,4.9,3.5,2.2,NA,NA
Aaron Gordon,89.2,5.4,5.1,3.7,2.9,1,NA
Michael Brooks,88.3,4.9,4.7,4.5,2.4,0,0
Jack Kerris,88.3,5.9,5.7,4.1,2.1,NA,NA
Jared Sullinger,87.5,4.8,4,3.9,2.7,-0.1,NA
Keon Clark,87.1,5.3,4.7,4.2,3.7,0.2,0
Willie Cauley-Stein,86.9,6.7,3.9,3.8,2.9,NA,NA
Ernie Vandeweghe,85.5,7.1,4.8,3.9,2.1,0.3,-0.1
Leo Barnhorst,84.2,4.7,4.6,3.6,1.3,NA,NA
Julius Keye,82.8,5.3,4.3,3.6,3.6,1.2,-0.2
