,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22,KEN,ABA,,8,,0,,,,5,7,,,,,,,21
1969-70,24,CAR,ABA,,7,,0,,,,6,7,,,,,,,16
Career,,,,,8,,0,,,,6,7,,,,,,,21
1 Season,,KEN,ABA,,8,,0,,,,5,7,,,,,,,21
1 Season,,CAR,ABA,,7,,0,,,,6,7,,,,,,,16
