Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Randolph Mahaffey,,5.7,4.7,3.7,2.6
Keith Van Horn,96.9,5.5,4.8,3.7,2.8
Purvis Short,95.4,5.4,5,3.7,2.6
Josh Smith,95.4,5.8,4.4,3.6,2.4
James Posey,95.0,5.4,4.3,3.8,2.7
Larry Nance,94.9,5.8,4.9,3.5,2.2
Ed Davis,92.1,5.4,4,3.9,2.6
Tyrone Hill,91.7,5.7,4.9,4.5,2.1
Dick Schnittker,91.4,6.2,5.3,3.5,2.8
Loy Vaught,91.3,5.5,4.2,4.1,2.2
Joe Smith,91.0,6.8,4.4,3.7,2.6
