,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22,KEN,ABA,,11,,0,,,,14,18,,,,,,,28
1968-69,23,TOT,ABA,,11,,0,,,,9,13,,,,,,,29
1968-69,23,KEN,ABA,,11,,0,,,,7,10,,,,,,,28
1968-69,23,NYA,ABA,,11,,0,,,,9,13,,,,,,,29
1969-70,24,CAR,ABA,,11,,0,,,,8,10,,,,,,,30
1970-71,25,CAR,ABA,,11,,0,,,,9,11,,,,,,,25
Career,,,,,11,,0,,,,14,18,,,,,,,30
2 Seasons,,CAR,ABA,,11,,0,,,,9,11,,,,,,,30
2 Seasons,,KEN,ABA,,11,,0,,,,14,18,,,,,,,28
1 Season,,NYA,ABA,,11,,0,,,,9,13,,,,,,,29
