Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22,KEN,ABA,SF,75,NA,31,5,11.7,0.426,0,0,0,5,11.6,0.427,0.426,3.7,5.5,0.684,3.5,5.7,9.1,1.7,3,3.7,13.7
1968-69,23,TOT,ABA,PF,79,NA,29.8,4.4,10.5,0.424,0,0,0,4.4,10.5,0.425,0.424,2.9,4.2,0.705,2.5,4.8,7.2,1.3,3.1,3.3,11.8
1968-69,23,KEN,ABA,PF,31,NA,24.5,3.3,8.1,0.406,0,0,0,3.3,8.1,0.408,0.406,2.2,3.3,0.673,1.8,4.1,5.9,1.1,3,3.2,8.8
1968-69,23,NYA,ABA,PF,48,NA,33.2,5.2,12,0.432,0,0,0,5.2,12,0.432,0.432,3.4,4.8,0.719,2.9,5.2,8.1,1.3,3.1,3.4,13.8
1969-70,24,CAR,ABA,PF,84,NA,30.5,4.4,9.8,0.447,0,0,0,4.4,9.7,0.449,0.447,2.3,3.4,0.686,2.5,5.6,8.1,2,2.9,3.3,11
1970-71,25,CAR,ABA,PF,83,NA,28.3,4.6,9.5,0.487,0,0.1,0,4.6,9.4,0.492,0.487,1.9,2.9,0.653,2.6,4.9,7.4,1.4,2,3.7,11.2
Career,NA,,ABA,,321,NA,29.9,4.6,10.3,0.445,0,0,0,4.6,10.3,0.447,0.445,2.7,3.9,0.684,2.7,5.2,8,1.6,2.7,3.5,11.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CAR,ABA,,167,NA,29.4,4.5,9.7,0.467,0,0.1,0,4.5,9.6,0.47,0.467,2.1,3.1,0.67,2.6,5.2,7.8,1.7,2.5,3.5,11.1
2 seasons,NA,KEN,ABA,,106,NA,29.1,4.5,10.6,0.422,0,0,0,4.5,10.6,0.423,0.422,3.3,4.8,0.682,3,5.2,8.2,1.5,3,3.6,12.3
1 season,NA,NYA,ABA,,48,NA,33.2,5.2,12,0.432,0,0,0,5.2,12,0.432,0.432,3.4,4.8,0.719,2.9,5.2,8.1,1.3,3.1,3.4,13.8
