,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,22,PTP,ABA,,3,,1,,,,3,3,,,,,,,,7
1968-69,23,MNP,ABA,,3,,2,,,,2,2,,,,,,,,10
Career,,,,,3,,2,,,,3,3,,,,,,,,10
