Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,22,PTP,ABA,,16,NA,146,6.4,18.7,0.342,0.7,3.2,0.231,5.7,15.5,0.365,2,3.2,0.615,NA,NA,8.1,3.2,NA,2.5,8.4,15.5
1968-69,23,MNP,ABA,SG,68,NA,1066,5.2,14.4,0.365,0.8,3.5,0.238,4.4,10.8,0.406,2.1,3.5,0.612,1.8,3.5,5.3,2.1,NA,3,4.8,13.4
1969-70,24,PTP,ABA,PG,70,NA,2391,5.8,11.7,0.494,0.3,1.1,0.284,5.5,10.6,0.516,2.5,3.9,0.654,1.8,2.2,4,3.4,NA,3.1,2.9,14.4
1970-71,25,TOT,ABA,,22,NA,180,4,7,0.571,0,0.6,0,4,6.4,0.625,3.6,6.2,0.581,1.8,3.2,5,3.4,NA,4.2,6.8,11.6
1970-71,25,PTC,ABA,,17,NA,135,4.3,7.2,0.593,0,0.8,0,4.3,6.4,0.667,3.2,6.1,0.522,2.1,4.3,6.4,4.5,NA,3.5,6.9,11.7
1970-71,25,CAR,ABA,,5,NA,45,3.2,6.4,0.5,0,0,NA,3.2,6.4,0.5,4.8,6.4,0.75,0.8,0,0.8,0,NA,6.4,6.4,11.2
1971-72,26,TOT,ABA,SG,12,NA,112,4.2,9.3,0.448,0.3,1,0.333,3.9,8.4,0.462,1,1.3,0.75,1.6,3.2,4.8,4.5,NA,2.6,6.4,9.6
1971-72,26,PTC,ABA,,8,NA,71,5.1,10.1,0.5,0.5,1.5,0.333,4.6,8.6,0.529,1.5,2,0.75,2,2,4.1,6.1,NA,3,5.1,12.2
1971-72,26,INA,ABA,SG,4,NA,41,2.6,7.9,0.333,0,0,NA,2.6,7.9,0.333,0,0,NA,0.9,5.3,6.1,1.8,NA,1.8,8.8,5.3
Career,NA,,ABA,,188,NA,3895,5.5,12.4,0.445,0.5,1.8,0.253,5.1,10.6,0.479,2.4,3.8,0.637,1.8,2.6,4.6,3.1,NA,3.1,3.9,13.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"PTP,MNP,PTC",ABA,,179,NA,3809,5.6,12.5,0.446,0.5,1.9,0.253,5.1,10.7,0.48,2.4,3.8,0.635,1.8,2.6,4.6,3.1,NA,3.1,3.8,14
1 season,NA,CAR,ABA,,5,NA,45,3.2,6.4,0.5,0,0,NA,3.2,6.4,0.5,4.8,6.4,0.75,0.8,0,0.8,0,NA,6.4,6.4,11.2
1 season,NA,INA,ABA,,4,NA,41,2.6,7.9,0.333,0,0,NA,2.6,7.9,0.333,0,0,NA,0.9,5.3,6.1,1.8,NA,1.8,8.8,5.3
