Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,22,PTP,ABA,,16,NA,146,26,76,0.342,3,13,0.231,23,63,0.365,0.362,8,13,0.615,NA,NA,33,13,NA,10,34,63
1968-69,23,MNP,ABA,SG,68,NA,1066,155,425,0.365,25,105,0.238,130,320,0.406,0.394,63,103,0.612,54,103,157,61,NA,89,141,398
1969-70,24,PTP,ABA,PG,70,NA,2391,384,778,0.494,21,74,0.284,363,704,0.516,0.507,168,257,0.654,122,145,267,226,NA,209,195,957
1970-71,25,TOT,ABA,,22,NA,180,20,35,0.571,0,3,0,20,32,0.625,0.571,18,31,0.581,9,16,25,17,NA,21,34,58
1970-71,25,PTC,ABA,,17,NA,135,16,27,0.593,0,3,0,16,24,0.667,0.593,12,23,0.522,8,16,24,17,NA,13,26,44
1970-71,25,CAR,ABA,,5,NA,45,4,8,0.5,0,0,NA,4,8,0.5,0.5,6,8,0.75,1,0,1,0,NA,8,8,14
1971-72,26,TOT,ABA,SG,12,NA,112,13,29,0.448,1,3,0.333,12,26,0.462,0.466,3,4,0.75,5,10,15,14,NA,8,20,30
1971-72,26,PTC,ABA,,8,NA,71,10,20,0.5,1,3,0.333,9,17,0.529,0.525,3,4,0.75,4,4,8,12,NA,6,10,24
1971-72,26,INA,ABA,SG,4,NA,41,3,9,0.333,0,0,NA,3,9,0.333,0.333,0,0,NA,1,6,7,2,NA,2,10,6
Career,NA,,ABA,,188,NA,3895,598,1343,0.445,50,198,0.253,548,1145,0.479,0.464,260,408,0.637,190,274,497,331,NA,337,424,1506
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"PTP,MNP,PTC",ABA,,179,NA,3809,591,1326,0.446,50,198,0.253,541,1128,0.48,0.465,254,400,0.635,188,268,489,329,NA,327,406,1486
1 season,NA,CAR,ABA,,5,NA,45,4,8,0.5,0,0,NA,4,8,0.5,0.5,6,8,0.75,1,0,1,0,NA,8,8,14
1 season,NA,INA,ABA,,4,NA,41,3,9,0.333,0,0,NA,3,9,0.333,0.333,0,0,NA,1,6,7,2,NA,2,10,6
