Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,22,PTP,ABA,,16,146,7.3,0.385,0.171,0.171,NA,NA,9.6,13.1,NA,10.9,23.4,NA,-0.3,0.2,-0.1,-0.035
1968-69,23,MNP,ABA,SG,68,1066,6.6,0.423,0.247,0.242,NA,NA,6.5,7.8,NA,15.9,18.6,NA,-0.9,1.3,0.3,0.015
1969-70,24,PTP,ABA,PG,70,2391,12,0.537,0.095,0.33,NA,NA,4.7,12.5,NA,19,16.6,NA,3.4,1.5,4.9,0.098
1970-71,25,TOT,ABA,,22,180,6.8,0.596,0.086,0.886,NA,NA,5.9,11.2,NA,30.2,13.7,NA,0.3,0.1,0.4,0.113
1970-71,25,PTC,ABA,,17,135,9.6,0.593,0.111,0.852,NA,NA,7.5,14.9,NA,25.9,13,NA,0.2,0.1,0.3,0.12
1970-71,25,CAR,ABA,,5,45,-1.7,0.608,0,1,NA,NA,1,0,NA,41,15.7,NA,0.1,0,0.1,0.093
1971-72,26,TOT,ABA,SG,12,112,6.6,0.488,0.103,0.138,4.1,8,6.1,15.2,NA,20.6,12.8,NA,0,0,0,0.021
1971-72,26,PTC,ABA,,8,71,11,0.551,0.15,0.2,5.2,5.1,5.2,20.6,NA,21.6,14.3,NA,0.1,0,0.1,0.057
1971-72,26,INA,ABA,SG,4,41,-0.8,0.333,0,0,2.3,12.9,7.8,6,NA,18.2,10.4,NA,-0.1,0,0,-0.042
Career,NA,,ABA,,188,3895,9.9,0.495,0.147,0.304,4.1,8,5.5,11.3,NA,18.1,17.1,NA,2.5,3.1,5.6,0.069
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"PTP,MNP,PTC",ABA,,179,3809,10.2,0.495,0.149,0.302,5.2,5.1,5.5,11.5,NA,17.9,17.2,NA,2.5,3,5.5,0.07
1 season,NA,CAR,ABA,,5,45,-1.7,0.608,0,1,NA,NA,1,0,NA,41,15.7,NA,0.1,0,0.1,0.093
1 season,NA,INA,ABA,,4,41,-0.8,0.333,0,0,2.3,12.9,7.8,6,NA,18.2,10.4,NA,-0.1,0,0,-0.042
