Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Arvesta Kelly,,4.9,0.4,0.3,0,-0.1
Malik Beasley,86.1,4.5,0.3,0.2,NA,NA
D'Angelo Russell,83.9,5,1.3,0.4,0,NA
Jason Hart,72.6,4.8,1.9,0.3,0.1,0
Ron Perry,72.0,4.4,1.4,0.3,NA,NA
Jeffrey Congdon,71.6,4.3,0.9,0.7,0.3,0
Jack McMahon,70.2,4.7,1.3,0.8,-0.2,-0.2
Ernie Calverley,68.6,5.5,0.7,-0.5,NA,NA
Walt Kirk,68.0,5,2.3,0.4,NA,NA
Terry Dehere,66.5,5,1.2,1,0.5,-0.4
Dan Dickau,66.5,3.5,0.4,0.4,0,0
