,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,22,PTP,ABA,,6,,2,,,,3,6,,,,,,,,15
1968-69,23,MNP,ABA,,9,,4,,,,7,9,,,,,,,,23
1969-70,24,PTP,ABA,,15,,2,,,,9,11,,,,,,,,41
1970-71,25,TOT,ABA,,3,,0,,,,2,4,,,,,,,,7
1970-71,25,PTC,ABA,,3,,0,,,,2,4,,,,,,,,7
1970-71,25,CAR,ABA,,3,,0,,,,2,3,,,,,,,,7
1971-72,26,TOT,ABA,,3,,1,,,,2,3,,,,,,,,6
1971-72,26,PTC,ABA,,3,,1,,,,2,3,,,,,,,,6
1971-72,26,INA,ABA,,3,,0,,,,0,0,,,,,,,,6
Career,,,,,15,,4,,,,9,11,,,,,,,,41
5 Seasons,,"MNP,PTC,PTP",ABA,,15,,4,,,,9,11,,,,,,,,41
1 Season,,INA,ABA,,3,,0,,,,0,0,,,,,,,,6
1 Season,,CAR,ABA,,3,,0,,,,2,3,,,,,,,,7
