Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Mel Peterson,,1.3,1,0,-0.2
Byron Irvin,79.2,1.2,0.9,0,NA
Sean Kilpatrick,78.0,1.4,1,0.1,0.1
Richie Frahm,71.9,1.5,1,0.5,-0.2
Ollie Mack,69.1,1.6,1,-0.1,NA
Jerry Rullo,66.4,1.5,0.6,0,-0.1
Cameron Payne,64.8,1.4,0.8,0.5,-0.3
Bobby Washington,64.5,1.5,0.7,0,NA
Salim Stoudamire,64.1,1.2,0.8,0.3,NA
Dante Exum,62.8,1.2,1,0.7,-0.1
Vonteego Cummings,61.7,1.3,0.6,0.2,NA
