Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Mel Peterson,,1.3,1,0,-0.2
Kevin Ollie,79.9,1.4,0.9,0,-0.1
Byron Irvin,79.2,1.2,0.9,0,NA
Sean Kilpatrick,78.0,1.4,1,0.1,0.1
Doug Christie,75.7,1.4,1.4,0.1,-0.3
Nick Jones,74.2,1.3,0.7,0.2,-0.2
Steve Henson,73.8,1.2,1.1,0.2,0
Reggie Bullock,73.7,1.2,1,0.2,0.1
Bernie Williams,73.4,1.1,0.8,0.1,-0.3
Troy Daniels,72.6,1.3,1.1,0.2,0.2
Richie Frahm,71.9,1.5,1,0.5,-0.2
