Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1963-64,25,BAL,NBA,,2,3,20.8,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.514
1967-68,29,OAK,ABA,SF,77,1589,15.1,0.459,0.045,0.123,NA,NA,12.3,10.1,12.5,20.8,NA,0.6,0.4,1,0.031
1968-69,30,OAK,ABA,SG,51,709,13.8,0.512,0.008,0.057,NA,NA,10.6,10,13.8,15.1,NA,0.7,0.7,1.3,0.088
1969-70,31,LAS,ABA,,4,53,4.4,0.317,0.114,0.086,NA,NA,10.8,2.7,9.9,28.1,NA,-0.3,0,-0.2,-0.223
Career,NA,,TOT,,134,2354,14.5,0.467,0.038,0.105,NA,NA,11.8,9.9,12.7,19.3,NA,1,1.1,2.1,0.043
,NA,,ABA,,132,2351,14.5,0.467,0.038,0.105,NA,NA,11.8,9.9,12.7,19.3,NA,1,1.1,2.1,0.043
,NA,,NBA,,2,3,20.8,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.514
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,OAK,ABA,,128,2298,14.7,0.472,0.035,0.106,NA,NA,11.8,10,12.8,19,NA,1.3,1.1,2.3,0.049
1 season,NA,LAS,ABA,,4,53,4.4,0.317,0.114,0.086,NA,NA,10.8,2.7,9.9,28.1,NA,-0.3,0,-0.2,-0.223
1 season,NA,BAL,NBA,,2,3,20.8,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.514
