Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,25,BAL,NBA,,2,NA,3,12,12,1,NA,NA,NA,12,12,1,0,0,NA,NA,NA,12,0,NA,24,24
1967-68,29,OAK,ABA,SF,77,NA,1589,7.3,17.1,0.427,0.2,0.8,0.265,7.1,16.4,0.435,1.7,2.1,0.817,NA,NA,10.2,2.4,2.6,3.6,16.6
1968-69,30,OAK,ABA,SG,51,NA,709,6.7,13.4,0.502,0,0.1,0,6.7,13.3,0.506,0.6,0.8,0.8,3.1,5.5,8.6,2.8,2.2,3.1,14
1969-70,31,LAS,ABA,,4,NA,53,6.8,23.8,0.286,0,2.7,0,6.8,21.1,0.323,2,2,1,3.4,5.4,8.8,0.7,2.7,2.7,15.6
Career,NA,,TOT,,134,NA,2354,7.1,16.1,0.442,0.1,0.6,0.225,7,15.5,0.45,1.4,1.7,0.82,3.2,5.5,9.7,2.4,2.5,3.5,15.8
,NA,,ABA,,132,NA,2351,7.1,16.1,0.441,0.1,0.6,0.225,7,15.5,0.45,1.4,1.7,0.82,3.2,5.5,9.7,2.5,2.5,3.5,15.8
,NA,,NBA,,2,NA,3,12,12,1,NA,NA,NA,12,12,1,0,0,NA,NA,NA,12,0,NA,24,24
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,OAK,ABA,,128,NA,2298,7.1,16,0.447,0.1,0.6,0.25,7,15.4,0.454,1.4,1.7,0.815,3.1,5.5,9.7,2.5,2.5,3.5,15.8
1 season,NA,LAS,ABA,,4,NA,53,6.8,23.8,0.286,0,2.7,0,6.8,21.1,0.323,2,2,1,3.4,5.4,8.8,0.7,2.7,2.7,15.6
1 season,NA,BAL,NBA,,2,NA,3,12,12,1,NA,NA,NA,12,12,1,0,0,NA,NA,NA,12,0,NA,24,24
