,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,25,BAL,NBA,,1,,,,,,0,0,,,,,,1,2
1967-68,29,OAK,ABA,,14,,2,,,,7,8,,,,,,,34
1968-69,30,OAK,ABA,,10,,0,,,,2,2,,,,,,,21
1969-70,31,LAS,ABA,,5,,0,,,,2,2,,,,,,,12
Career,,,TOT,,14,,,,,,7,8,,,,,,,34
,,,NBA,,1,,,,,,0,0,,,,,,1,2
,,,ABA,,14,,2,,,,7,8,,,,,,,34
,,,,,,,,,,,,,,,,,,,
2 Seasons,,OAK,ABA,,14,,2,,,,7,8,,,,,,,34
1 Season,,LAS,ABA,,5,,0,,,,2,2,,,,,,,12
1 Season,,BAL,NBA,,1,,,,,,0,0,,,,,,1,2
