Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Michael Beasley,,4.6,3.4,2.4,1.8,1.7,1.6,1,0.5,0.2,-0.1,-1.5
Glen Davis,84.8,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA,NA
David Benoit,83.9,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA,NA,NA
Kyle O'Quinn,83.6,4.8,3.9,2.5,1.6,1.6,1.4,1,NA,NA,NA,NA
Derek Strong,82.8,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0,NA
Jeff Cook,81.2,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA,NA
Francisco García,80.4,4.2,3,2.4,2.4,1.8,1.6,1.3,1,0.8,-0.2,NA
Etan Thomas,80.0,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1,NA,NA
Andrea Bargnani,79.8,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,NA
Danny Vranes,79.4,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA,NA,NA
James Bailey,79.1,4.9,2.9,2.3,2,1.9,1,0.6,0.4,0.3,NA,NA
