Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Buddy Jeannette,,8.2,4.9,2.6,NA,NA,NA,NA
Charles Beasley,89.2,8,4.1,2.6,0.7,NA,NA,NA
Malcolm Brogdon,81.7,6.5,4.1,2.7,NA,NA,NA,NA
Spencer Dinwiddie,79.0,5.7,4.8,2.8,0.1,0.1,NA,NA
Stephen Chubin,78.7,6.9,4,1.7,NA,NA,NA,NA
Willie Somerset,74.7,9.4,5.3,0.1,NA,NA,NA,NA
George Lehmann,72.6,7.3,5.9,2.5,2.3,0.7,0,0
Wilbur Holland,72.1,5.9,4.4,3.8,-0.1,NA,NA,NA
Dražen Petrović,70.6,8.4,7.7,2.8,2.5,NA,NA,NA
Jamal Murray,70.0,5.5,5.1,1.3,NA,NA,NA,NA
Levern Tart,69.9,10.9,5.8,1.9,1.2,NA,NA,NA
