Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Brian Shaw,,5.9,3.2,2.5,2.2,2.1,1.8,1.3,1.2,1.1,1,0.6,0.6,0.1,0
Steve Blake,81.4,5.8,3.8,3.3,2.8,2.4,2.1,2.1,1.8,1.8,1.1,1,0.7,0.3,NA
Anthony Morrow,81.3,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA,NA,NA,NA,NA
Keith Bogans,79.5,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0,NA,NA,NA
Vernon Maxwell,79.2,5.9,3.9,3.9,3.5,2.8,1.9,1.6,1.5,0.9,0.8,0.8,0,0,NA
Eddie House,78.6,4.9,3.9,2.2,1.9,1.8,1.6,1.1,0.9,0.7,0.7,0.4,NA,NA,NA
Scott Brooks,78.0,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1,0.7,NA,NA,NA,NA
J.J. Barea,77.4,3.3,3.2,2.8,2.7,2.2,2.2,1.9,1.3,1.2,1,0.7,0.5,0.1,NA
Chris Childs,76.9,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,NA,NA,NA,NA,NA
Gerald Green,76.9,6.1,2.1,1.9,1.9,1.7,1.6,1.3,1.2,0.6,0.5,0,-0.4,NA,NA
Danny Young,76.7,4.8,3,2.9,2.4,1.9,1.8,1.8,1.4,0.2,-0.1,NA,NA,NA,NA
