Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jeff Cook,,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1
Jackie Moreland,90.1,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1
David Benoit,90.0,4.6,3.9,2.3,2,1.6,1.6,0.7,NA
John Brown,89.9,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA
Andrea Bargnani,88.9,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.1
Derek Strong,88.2,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0
Danny Vranes,87.2,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA
Earl Lloyd,86.3,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6
Howard Porter,86.3,4.1,3.9,2.7,2.4,2.4,1.1,1,NA
Fred Roberts,86.0,4.2,3.5,3,2.6,2,1.9,1.8,0.2
Kwame Brown,85.5,4.9,3.6,2.5,1.9,1.9,0.8,0.6,0.6
