Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jeff Cook,,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA
Jackie Moreland,90.1,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1,NA,NA
David Benoit,90.0,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA,NA
John Brown,89.9,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA,NA,NA
Derek Strong,87.5,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0
Danny Vranes,87.2,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA,NA
Howard Porter,86.3,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA,NA
Glen Davis,85.4,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA
Earl Lloyd,85.1,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,NA
Andrea Bargnani,84.7,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1
Kyle O'Quinn,84.7,4.8,3.9,2.5,1.6,1.6,1.4,1,NA,NA,NA
