Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Skeeter Swift,,4.3,3.4,2.7,1.8,0,NA,NA,NA,NA,NA,NA,NA
T.J. McConnell,89.8,3.8,3.8,2.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA
Joe Hamilton,86.9,4.1,2.9,2.9,2.2,0.2,0.2,NA,NA,NA,NA,NA,NA
Andre Roberson,85.8,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA,NA,NA,NA
Billy Kenville,83.9,4.5,3.9,3,1.4,0.5,0.4,NA,NA,NA,NA,NA,NA
Pablo Prigioni,83.6,3.4,3.2,2.3,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Greivis Vásquez,83.5,3.8,3.6,2.8,2.3,0.5,0,-0.3,NA,NA,NA,NA,NA
Charles Dudley,83.1,4.6,4,3.6,1.6,0.2,-0.1,NA,NA,NA,NA,NA,NA
Whitey Skoog,83.1,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA,NA,NA,NA
Jaren Jackson,82.4,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
Lee Winfield,82.4,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA,NA,NA,NA
