Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Skeeter Swift,,4.3,3.4,2.7,1.8,0
Mo Williams,90.5,4.5,3.2,2.5,2.2,0.2
Jamaal Tinsley,90.3,4.4,3.7,2.8,1.7,0.7
Maurice Evans,90.1,4.9,3.2,2.6,2.1,0.1
Art Williams,89.9,4.4,3.4,3.1,2.7,0
T.J. McConnell,89.8,3.8,3.8,2.9,1.9,NA
Winston Garland,89.5,4.5,2.9,2.4,1.7,-0.3
Cory Joseph,89.5,4.5,3.5,2.9,0.9,0
Danny Young,88.9,4.8,2.9,2.4,1.8,-0.1
Joe Hamilton,88.3,4.1,2.9,2.9,2.2,0.2
Herm Gilliam,87.5,4.9,3.4,2.9,1.4,0.4
