Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Gerald Glass,,0.9,0.5,0.3,0.1
Chris Corchiani,84.5,0.9,0.4,0.3,NA
Kelvin Upshaw,80.0,1,0.3,0.3,NA
Nate Hawthorne,78.8,1.1,0.5,0.1,NA
Tracy Moore,76.3,0.6,0.5,0.3,0.1
Greg Graham,75.9,0.8,0.3,0.3,0.1
Ronnie Price,75.9,1.1,0.4,0.1,0.1
Bryan Warrick,75.9,1,0.5,0.1,0
Royal Ivey,75.2,0.7,0.5,0.3,0.2
Craig Ehlo,75.1,1.2,0.5,0.2,0
JaKarr Sampson,75.1,0.8,0.6,0.5,0.1
