Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Gerald Glass,,0.9,0.5,0.3,0.1,NA,NA
Chris Corchiani,84.5,0.9,0.4,0.3,NA,NA,NA
Kelvin Upshaw,80.0,1,0.3,0.3,NA,NA,NA
Nate Hawthorne,78.8,1.1,0.5,0.1,NA,NA,NA
Pace Mannion,78.5,0.9,0.4,0.3,0.2,0,-0.2
Bryan Warrick,75.9,1,0.5,0.1,0,NA,NA
JaKarr Sampson,75.1,0.8,0.6,0.5,0.1,NA,NA
Shawn Respert,73.6,0.8,0.7,0.5,0.1,NA,NA
Brooks Thompson,72.6,1.1,0.6,0.2,0.1,NA,NA
Eddie Hughes,72.2,1,0.4,0,NA,NA,NA
Tarence Kinsey,71.4,0.9,0.6,0,NA,NA,NA
