Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1969-70,22,DNR,ABA,PF,2,NA,4,9,18,0.5,9,9,1,0,9,0,9,27,0.333,NA,NA,0,0,0,18,36
Career,NA,,ABA,,2,NA,4,9,18,0.5,9,9,1,0,9,0,9,27,0.333,NA,NA,0,0,0,18,36
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,DNR,ABA,,2,NA,4,9,18,0.5,9,9,1,0,9,0,9,27,0.333,NA,NA,0,0,0,18,36
