Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Johnny Ezersky,,1.7,0.5,-0.7
John Fairchild,83.6,1.7,0.7,-0.6
Red Morrison,64.2,1.7,0.5,0
Maurice Taylor,63.5,1.8,0.7,-0.3
C.J. Kupec,63.1,1.5,0.5,-0.2
DerMarr Johnson,62.4,1.7,0.4,0
Marquese Chriss,60.1,1.8,0.7,-0.2
Andrew Nicholson,57.8,1.7,0.6,0.1
Boštjan Nachbar,57.7,1.7,0.8,-0.1
Tony Campbell,57.5,1.4,0.4,-0.3
Fred Foster,54.9,2.1,0.4,-0.2
