Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1947-48,25,PRO,BAA,NA,25,NA,NA,95,376,0.253,63,104,0.606,NA,16,62,253
1948-49,26,TOT,BAA,NA,56,NA,NA,128,407,0.314,109,160,0.681,NA,67,98,365
1948-49,26,PRO,BAA,NA,11,NA,NA,16,73,0.219,21,25,0.84,NA,11,13,53
1948-49,26,BLB,BAA,NA,27,NA,NA,44,149,0.295,39,55,0.709,NA,27,36,127
1948-49,26,BOS,BAA,NA,18,NA,NA,68,185,0.368,49,80,0.613,NA,29,49,185
1949-50,27,TOT,NBA,NA,54,NA,NA,143,487,0.294,127,183,0.694,NA,86,139,413
1949-50,27,BLB,NBA,NA,38,NA,NA,107,351,0.305,92,132,0.697,NA,64,100,306
1949-50,27,BOS,NBA,NA,16,NA,NA,36,136,0.265,35,51,0.686,NA,22,39,107
Career,NA,,TOT,NA,135,NA,NA,366,1270,0.288,299,447,0.669,NA,169,299,1031
,NA,,BAA,NA,81,NA,NA,223,783,0.285,172,264,0.652,NA,83,160,618
,NA,,NBA,NA,54,NA,NA,143,487,0.294,127,183,0.694,NA,86,139,413
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BLB,BAA,NA,65,NA,NA,151,500,0.302,131,187,0.701,NA,91,136,433
2 seasons,NA,PRO,BAA,NA,36,NA,NA,111,449,0.247,84,129,0.651,NA,27,75,306
2 seasons,NA,BOS,BAA,NA,34,NA,NA,104,321,0.324,84,131,0.641,NA,51,88,292
