Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Johnny Ezersky,,1.7,0.5,-0.7,NA
Red Morrison,64.2,1.7,0.5,0,NA
C.J. Kupec,63.1,1.5,0.5,-0.2,NA
Marquese Chriss,60.1,1.8,0.7,-0.2,NA
Kornél Dávid,52.7,1.7,0.4,0.3,NA
Jim Holstein,51.9,1.8,0.6,0.2,NA
Mario Bennett,49.3,1.5,0.5,0,-0.1
Derrick Alston,48.9,1.7,1,-0.1,NA
Chris Singleton,48.6,1.5,0.5,0.2,NA
Ron Bonham,47.6,1.8,0.7,0.2,NA
Bill Bunting,45.0,2,0.7,0,NA
