Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Delaney Rudd,,0.6,0.3,0.1,-0.3
Jim Farmer,65.9,0.7,0.4,0.1,-0.4
Jermaine Jackson,60.7,0.6,0.2,0.2,-0.2
Paul Long,60.2,0.5,0.3,0.2,-0.2
Pete Myers,52.4,0.5,0.3,0,-0.1
Shaler Halimon,50.9,0.8,0.3,0,-0.3
Corey Gaines,49.3,0.6,0.3,0.2,-0.1
Terry Duerod,48.1,0.7,0.2,0.2,-0.2
DeAndre Liggins,44.9,0.6,0.5,0,0
Laron Profit,38.8,0.4,0.3,0.3,-0.3
Pace Mannion,38.6,0.9,0.4,0.2,-0.2
