Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Delaney Rudd,,0.6,0.3,0.1,-0.3
Paul Long,60.2,0.5,0.3,0.2,-0.2
Terry Duerod,48.1,0.7,0.2,0.2,-0.2
Laron Profit,38.8,0.4,0.3,0.3,-0.3
Anthony Jones,38.2,0.5,0.3,0,NA
K.J. McDaniels,37.9,0.6,0.5,0.2,NA
Jordan McRae,37.5,0.5,0.4,0.2,NA
Markel Brown,37.0,0.6,0.5,0,NA
Tyler Ennis,35.9,0.8,0.4,0.4,-0.3
Darrin Hancock,35.9,0.5,0.4,0.2,NA
Andre McCarter,35.2,0.8,0.3,0,NA
