Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dontonio Wingfield,,0.9,0.9,0,-0.1,NA,NA
James Wilkes,81.5,1.1,0.8,0.1,NA,NA,NA
Timothé Luwawu-Cabarrot,77.3,0.8,0.8,0.2,NA,NA,NA
Jay Miller,69.3,0.9,0.7,0.1,-0.3,NA,NA
Kevin Loder,68.7,1.5,0.9,0.1,NA,NA,NA
Alec Kessler,68.6,1.2,0.8,0.1,-0.1,NA,NA
Walter Piatkowski,68.2,1.2,0.8,-0.2,NA,NA,NA
Dennis Wuycik,67.2,1.4,0.9,-0.1,NA,NA,NA
Bo Ellis,67.0,1.1,0.9,0.5,NA,NA,NA
Antonio Lang,66.6,0.8,0.7,0.1,0.1,0,-0.1
Mark Hendrickson,66.1,0.9,0.8,0.3,0.1,NA,NA
