Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dontonio Wingfield,,0.9,0.9,0,-0.1
James Wilkes,81.5,1.1,0.8,0.1,NA
Antonio Lang,78.5,0.8,0.7,0.1,-0.1
Anthony Miller,77.6,1.2,0.8,0,-0.1
Timothé Luwawu-Cabarrot,77.3,0.8,0.8,0.2,NA
Eddie Lee Wilkins,73.6,0.8,0.8,0.3,-0.1
Michael Ruffin,71.4,1,0.6,0.2,0
Jay Miller,69.3,0.9,0.7,0.1,-0.3
Kevin Loder,68.7,1.5,0.9,0.1,NA
Alec Kessler,68.6,1.2,0.8,0.1,-0.1
Walter Piatkowski,68.2,1.2,0.8,-0.2,NA
