Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Major Jones,,1.3,1.3,1.2,0.9,0.7,0.1,NA,NA,NA
Joe Ellis,79.4,1.3,1.3,1.1,1,0.5,0.4,-0.2,-0.3,NA
John Wallace,78.8,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA
Jerry Chambers,78.0,1.5,1.4,1.3,1.1,0,0,NA,NA,NA
Lance Thomas,77.2,1.7,1.2,1.2,0.9,0.9,0.1,-0.1,-0.4,NA
Larry Staverman,76.7,1.6,1.6,1.4,1.2,1.1,NA,NA,NA,NA
Michael Ruffin,76.5,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0
Anthony Randolph,73.9,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA,NA
Rodney Carney,72.9,1.6,1.5,1.5,1.3,0.3,NA,NA,NA,NA
Darvin Ham,72.9,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4,NA
Togo Palazzi,70.1,2,1.7,1.6,0.8,0.6,-0.2,NA,NA,NA
