Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jamal Mashburn,,9,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2
Charles Smith,88.6,9.4,7.4,6.6,4.8,4.4,4,2.4,1.9,0,NA,NA
Kelly Tripucka,87.6,7.5,7.5,7.1,5.7,4.2,3.3,3.3,2.1,2,1.7,NA
Luis Scola,87.3,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,0.8,NA
Vin Baker,87.0,10.4,8.3,6.2,5.8,4.4,3.5,2.8,2.2,1.8,1.6,0.4
Bo Outlaw,86.7,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8
Tristan Thompson,86.6,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA,NA
Bryon Russell,86.4,8.8,7.4,6.8,6,5.6,2.3,2.2,2.1,1.5,1.4,0.8
Troy Murphy,86.1,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.7,1.4,1.3,0.3
Jim McMillian,86.0,8.9,7.9,7.8,6.4,6,3.4,2.6,2.5,0.5,NA,NA
Jermaine O'Neal,86.0,10.5,9,6.4,6.4,4.9,4.7,3.8,2.1,1.2,0.8,0.8
