,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1996-97,24,TOT,NBA,42:30,7,15,5,7,5,10,6,7,3,7,8,5,3,1,4,6,22,16.5
1996-97,24,MIA,NBA,42:30,7,15,5,7,5,10,6,7,3,7,8,5,3,1,4,6,22,16.5
1997-98,25,MIA,NBA,40:35,5,18,1,4,4,15,3,4,2,7,7,5,1,1,4,6,14,6.7
1998-99,26,MIA,NBA,37:12,6,14,2,5,5,10,4,6,2,4,4,4,2,0,3,4,16,10.4
1999-00,27,MIA,NBA,48:00,10,22,4,5,8,17,9,9,2,7,7,5,2,1,5,4,29,23.2
2000-01,28,CHH,NBA,44:19,15,26,3,5,12,23,13,15,4,7,9,9,3,1,6,5,36,27.9
2001-02,29,CHH,NBA,10:20,0,6,0,1,0,5,0,0,0,1,1,1,0,0,0,0,0,-3.2
2002-03,30,NOH,NBA,44:06,14,27,3,5,11,23,11,13,0,5,5,6,2,1,3,2,36,24.9
Career,,,,48:00,15,27,5,7,12,23,13,15,4,7,9,9,3,1,6,6,36,27.9
4 Seasons,,MIA,NBA,48:00,10,22,5,7,8,17,9,9,3,7,8,5,3,1,5,6,29,23.2
2 Seasons,,CHH,NBA,44:19,15,26,3,5,12,23,13,15,4,7,9,9,3,1,6,5,36,27.9
1 Season,,NOH,NBA,44:06,14,27,3,5,11,23,11,13,0,5,5,6,2,1,3,2,36,24.9
