,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1993-94,21,DAL,NBA,,16,27,5,10,16,26,10,15,4,10,13,7,4,2,8,5,37,29.0
1994-95,22,DAL,NBA,,19,37,5,11,16,31,13,18,6,8,11,9,5,1,8,5,50,32.5
1995-96,23,DAL,NBA,,13,34,5,11,11,26,13,16,5,9,13,9,2,1,6,4,37,24.5
1996-97,24,TOT,NBA,49:39,9,22,5,10,8,14,9,12,3,11,12,8,5,2,5,6,29,26.0
1996-97,24,DAL,NBA,40:12,9,17,4,8,8,14,7,9,3,7,8,8,5,1,5,4,27,26.0
1996-97,24,MIA,NBA,49:39,9,22,5,10,7,14,9,12,3,11,12,7,5,2,4,6,29,25.4
1997-98,25,MIA,NBA,48:00,11,19,4,7,9,15,15,15,4,8,11,7,4,3,6,6,32,29.5
1998-99,26,MIA,NBA,48:00,11,19,2,4,10,16,8,11,4,11,12,7,4,2,8,5,25,20.5
1999-00,27,MIA,NBA,49:48,13,24,4,9,12,20,8,8,4,9,11,10,5,1,7,6,34,24.4
2000-01,28,CHH,NBA,47:20,13,28,4,8,12,22,12,13,5,13,15,14,4,2,7,6,33,33.3
2001-02,29,CHH,NBA,49:19,15,28,3,6,15,25,12,14,3,10,10,11,4,1,7,5,36,28.2
2002-03,30,NOH,NBA,51:05,17,33,5,10,14,30,12,14,4,14,15,13,4,2,7,5,50,36.7
2003-04,31,NOH,NBA,45:51,13,29,3,7,13,25,9,10,3,13,13,6,2,2,4,5,28,17.7
Career,,,,51:05,19,37,5,11,16,31,15,18,6,14,15,14,5,3,8,6,50,36.7
4 Seasons,,DAL,NBA,40:12,19,37,5,11,16,31,13,18,6,10,13,9,5,2,8,5,50,32.5
4 Seasons,,MIA,NBA,49:48,13,24,5,10,12,20,15,15,4,11,12,10,5,3,8,6,34,29.5
2 Seasons,,CHH,NBA,49:19,15,28,4,8,15,25,12,14,5,13,15,14,4,2,7,6,36,33.3
2 Seasons,,NOH,NBA,51:05,17,33,5,10,14,30,12,14,4,14,15,13,4,2,7,5,50,36.7
