,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2005-06,22,CLE,NBA,SG,3,4,,,62%,38%,,-50.0,-46.6,0,0,0,0,0,0,0,0,0
2006-07,23,CLE,NBA,SG,20,616,,90%,10%,,,-3.0,-16.4,11,8,23,9,15,2,66,0,20
2007-08,24,CLE,NBA,SG,8,111,,73%,27%,,,+0.6,-2.6,2,0,6,0,4,0,3,2,3
2008-09,25,CLE,NBA,SF,11,91,,45%,54%,1%,,+1.6,-10.3,1,2,6,0,2,1,9,1,2
2011-12,28,BOS,NBA,SF,10,40,,,62%,35%,3%,-5.8,-6.9,1,2,1,1,0,0,2,0,0
Career,,,NBA,,52,862,,78%,19%,2%,,-2.4,-13.6,15,12,36,10,21,3,80,3,25
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CLE,NBA,,42,822,,82%,17%,,,-2.2,-14.0,14,10,35,9,21,3,78,3,25
1 season,,BOS,NBA,,10,40,,,62%,35%,3%,-5.8,-6.9,1,2,1,1,0,0,2,0,0
