Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jerryd Bayless,,4,2.7,2.4,2.4,2.4,2,1.6,1.1,0.3,0,-0.1
Evan Turner,90.9,4,2.6,2.5,2.4,2.3,2.1,2,1.4,1.2,NA,NA
John Battle,85.4,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2,NA
Danny Young,84.3,4.8,3,2.9,2.4,1.9,1.8,1.8,1.4,0.2,-0.1,NA
J.J. Barea,84.2,3.2,2.8,2.7,2.2,2.2,1.9,1.3,1.2,0.7,0.5,0.1
Earl Watson,83.8,2.9,2.7,2.6,2.3,2.3,2,1.8,1.5,1,0.4,-0.2
Tyronn Lue,83.6,3.7,3.7,2.7,2.5,2.1,2,1.2,0.8,0.4,0.3,0.2
Fatty Taylor,83.4,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA,NA
Dudley Bradley,83.3,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA,NA
Clint Richardson,83.0,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA,NA,NA
Jim King,82.7,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1,NA
