Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bruce Hale,,5.1,4.4,-0.4,NA,NA
Fred VanVleet,87.5,4.7,4.3,0.2,NA,NA
Tomáš Satoranský,86.7,5,4.7,0.6,NA,NA
Joe Harris,79.4,5.5,4,0.8,0.2,0
Jamal Murray,75.2,5.5,5.1,1.3,NA,NA
Mike Barrett,73.5,4.9,2.7,-0.1,NA,NA
Delon Wright,73.2,4.5,4.3,1.1,0.6,NA
Jim Spanarkel,73.0,5.5,5.2,1,0.4,0.2
Walt Kirk,66.7,5,2.3,0.4,NA,NA
Spencer Dinwiddie,64.4,5.7,4.8,2.8,0.1,0.1
Terry Rozier,63.0,5.6,3.2,1.4,-0.3,NA
