,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1948-49,30,TOT,BAA,,10,,9,11,,,,26
1948-49,30,INJ,BAA,,10,,8,10,,,,25
1948-49,30,FTW,BAA,,9,,9,11,,,,26
1949-50,31,INO,NBA,,10,,12,14,,,,23
1950-51,32,INO,NBA,,5,,3,4,,,,13
Career,,,TOT,,10,,12,14,,,,26
,,,NBA,,10,,12,14,,,,23
,,,BAA,,10,,9,11,,,,26
,,,,,,,,,,,,
2 Seasons,,INO,NBA,,10,,12,14,,,,23
1 Season,,FTW,BAA,,9,,9,11,,,,26
1 Season,,INJ,BAA,,10,,8,10,,,,25
