Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,23,MIA,NBA,SG,1,0,23:28,6,13,0.462,0,1,0,2,2,1,2,3,1,2,1,1,2,14
2005-06,24,MIA,NBA,SG,1,1,30:39,9,11,0.818,0,0,NA,2,2,1,3,4,3,2,1,3,1,20
2006-07,25,MIA,NBA,SG,1,1,24:22,5,12,0.417,0,0,NA,0,0,NA,0,0,3,6,0,5,2,10
2007-08,26,MIA,NBA,SG,1,1,21:48,7,12,0.583,0,1,0,0,2,0,1,4,3,0,1,2,1,14
2008-09,27,MIA,NBA,SG,1,1,26:39,6,13,0.462,2,6,0.333,4,7,0.571,2,2,5,3,0,0,2,18
2009-10,28,MIA,NBA,SG,1,1,31:20,12,16,0.75,0,1,0,4,6,0.667,3,6,11,5,0,3,4,28
2010-11,29,MIA,NBA,SG,1,1,20:16,6,9,0.667,0,1,0,2,2,1,1,4,2,1,0,4,2,14
2011-12,30,MIA,NBA,SG,1,1,32:54,11,15,0.733,0,1,0,2,2,1,3,10,10,2,0,4,4,24
2012-13,31,MIA,NBA,SG,1,1,28:49,10,13,0.769,1,2,0.5,0,0,NA,1,3,7,2,2,4,2,21
2013-14,32,MIA,NBA,SG,1,1,11:41,5,6,0.833,0,0,NA,0,0,NA,1,1,3,2,0,1,0,10
2014-15,33,MIA,NBA,SG,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-16,34,MIA,NBA,SG,1,1,22:56,4,7,0.571,0,1,0,0,0,NA,1,4,6,2,0,3,0,8
2018-19,37,MIA,NBA,SG,1,0,10:27,2,4,0.5,1,2,0.5,2,2,1,0,2,4,0,0,1,0,7
Career,NA,,NBA,,12,10,285,83,131,0.634,4,16,0.25,18,25,0.72,18,43,58,27,5,31,20,188
