Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Michael Smith,,5.4,3.7,3.6,3.3,3.1,2.3,2.1
Tim Thomas,95.3,5.5,4.1,3.8,3.4,2.9,2.2,2.2
Ollie Johnson,91.6,4.8,4.1,3.6,3.1,2.9,2.6,2
Cliff Robinson,91.5,5.6,4.4,3.6,3.5,3.1,2.9,2.5
Patrick Patterson,89.4,6.1,4.1,3.8,3.6,3.3,2.4,1.6
Clyde Lee,88.9,6.1,5.1,3.5,3.4,3.1,2.2,2.1
Trevor Booker,88.8,4.3,4.3,3.6,3.1,3,2.6,2.3
Antoine Carr,88.7,5.4,3.8,3.5,3.3,2.2,2.1,0.7
Terry Catledge,87.9,4.6,3.6,3.5,3.3,2.5,1.7,1.6
Chris Gatling,87.8,4.6,4.5,3.9,3.9,3.1,2.4,2
Billy Owens,87.2,5.7,5.6,3.7,3.2,3.2,2.8,2.2
