Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1948-49,23,CHS,BAA,C,60,NA,NA,0.367,0.251,NA,NA,NA,NA,NA,0,2.7,2.7,NA
1949-50,24,TOT,NBA,C,65,NA,NA,0.361,0.374,NA,NA,NA,NA,NA,-0.6,1.4,0.8,NA
1949-50,24,CHS,NBA,C,21,NA,NA,0.351,0.457,NA,NA,NA,NA,NA,-0.4,0.6,0.2,NA
1949-50,24,ROC,NBA,C,44,NA,NA,0.368,0.32,NA,NA,NA,NA,NA,-0.2,0.8,0.6,NA
1950-51,25,TOT,NBA,C,61,NA,NA,0.409,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-51,25,ROC,NBA,C,10,NA,NA,0.32,0.194,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-51,25,WSC,NBA,C,18,NA,NA,0.39,0.422,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-51,25,PHW,NBA,C,33,NA,NA,0.436,0.324,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-52,26,PHW,NBA,C,66,1781,11.5,0.409,0.259,NA,NA,NA,NA,NA,0,0.8,0.8,0.021
1952-53,27,TOT,NBA,C,62,927,9.2,0.351,0.336,NA,NA,NA,NA,NA,-1.6,0.9,-0.7,-0.038
1952-53,27,PHW,NBA,C,19,358,12.6,0.352,0.254,NA,NA,NA,NA,NA,-0.7,0.3,-0.4,-0.051
1952-53,27,INO,NBA,C,43,569,7,0.349,0.405,NA,NA,NA,NA,NA,-1,0.6,-0.3,-0.029
1953-54,28,BOS,NBA,C,9,71,8.2,0.376,0.375,NA,NA,NA,NA,NA,-0.1,0,0,-0.023
Career,NA,,TOT,,323,2779,10.6,0.383,0.3,NA,NA,NA,NA,NA,-2.3,5.8,3.6,0
,NA,,NBA,,263,2779,10.6,0.39,0.32,NA,NA,NA,NA,NA,-2.3,3.1,0.9,0
,NA,,BAA,,60,NA,NA,0.367,0.251,NA,NA,NA,NA,NA,0,2.7,2.7,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,PHW,NBA,,118,2139,11.7,0.41,0.279,NA,NA,NA,NA,NA,-0.7,1,0.4,0.009
2 seasons,NA,CHS,BAA,,81,NA,NA,0.364,0.282,NA,NA,NA,NA,NA,-0.3,3.3,2.9,NA
2 seasons,NA,ROC,NBA,,54,NA,NA,0.357,0.289,NA,NA,NA,NA,NA,-0.2,0.8,0.6,NA
1 season,NA,INO,NBA,,43,569,7,0.349,0.405,NA,NA,NA,NA,NA,-1,0.6,-0.3,-0.029
1 season,NA,WSC,NBA,,18,NA,NA,0.39,0.422,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,BOS,NBA,,9,71,8.2,0.376,0.375,NA,NA,NA,NA,NA,-0.1,0,0,-0.023
