Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ed Mikan,,2.7,0.8,0.8,0,-0.7,NA
Steve Patterson,73.0,3,1.5,0.9,0.1,-0.7,NA
Gustavo Ayón,65.1,3.2,1.2,0.7,NA,NA,NA
Ivica Zubac,64.5,3.2,1.1,1,NA,NA,NA
Evan Eschmeyer,64.2,2.5,0.7,0.5,0.2,NA,NA
Deyonta Davis,62.5,2.7,0.5,0.4,NA,NA,NA
Dave Hoppen,61.7,2.6,0.8,0.2,0,0,-0.1
Festus Ezeli,54.7,2.7,1.7,1.5,NA,NA,NA
Vladimir Stepania,54.1,2.9,1.7,0.8,0.2,-0.1,-0.3
Greg Stiemsma,53.6,2.7,1.7,1.5,0.1,NA,NA
Ed Kalafat,53.0,2.6,2.1,0.7,NA,NA,NA
