,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2014-15,21,PHO,NBA,SF,40,614,,5%,63%,32%,,-7.9,-8.1,11,8,24,4,10,5,60,6,9
2015-16,22,PHO,NBA,SF,47,1070,,,75%,24%,1%,-6.2,+1.5,13,7,53,5,27,4,105,8,15
2016-17,23,PHO,NBA,SF,66,2048,,1%,69%,30%,1%,-6.8,-1.9,24,14,88,9,6,5,171,14,42
2017-18,24,PHO,NBA,SF,65,2142,,,87%,13%,,-9.7,-0.3,31,18,61,16,117,6,207,35,53
2018-19,25,PHO,NBA,SF,43,1360,,,1%,99%,,-7.9,+1.6,21,13,54,11,62,4,159,16,32
2019-20,26,IND,NBA,SF,61,1984,,1%,64%,34%,1%,+2.0,-0.9,27,21,66,14,95,17,199,31,28
Career,,,NBA,,322,9218,,1%,62%,37%,,-5.8,-0.8,127,81,346,59,317,41,901,110,179
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,PHO,NBA,,261,7234,,1%,62%,37%,,-7.9,-0.8,100,60,280,45,222,24,702,79,151
1 season,,IND,NBA,,61,1984,,1%,64%,34%,1%,+2.0,-0.9,27,21,66,14,95,17,199,31,28
