Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
T.J. Warren,,4.1,3.4,2.2,2.1,1.1,NA,NA,NA
Aaron James,90.0,4.3,2.9,2.2,2.1,1.7,NA,NA,NA
Andrew Wiggins,89.9,4.2,4.1,2.1,2.1,0.6,NA,NA,NA
Dave Budd,89.7,4.1,3.2,2.3,1.2,0.9,NA,NA,NA
Dwight Davis,87.4,3.7,3.3,2.3,1.5,0.6,NA,NA,NA
Tom Abernethy,86.3,4.1,3.7,3.1,2,0.4,NA,NA,NA
George Johnson,86.0,3.8,3.2,2.5,2.2,1,0.7,0.6,0
Chuck Cooper,85.9,3.3,3.1,2.4,1.7,1.1,0,NA,NA
Danny Vranes,85.7,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA
Derrek Dickey,85.5,3.8,3.1,2.3,1.7,0.3,NA,NA,NA
Jabari Parker,85.2,4,3.6,1.4,1.3,1.2,NA,NA,NA
