,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2005-06,23,GSW,NBA,PG,15,162,100%,,,,,-16.2,-15.0,9,4,3,1,6,1,41,1,7
2008-09,26,DET,NBA,PG,57,803,87%,13%,,,,+3.1,+4.5,39,22,23,8,52,4,357,9,35
2009-10,27,DET,NBA,PG,63,1667,99%,1%,,,,-9.7,-6.6,59,35,46,8,61,5,640,12,51
2010-11,28,DET,NBA,PG,61,1125,100%,,,,,-7.1,-4.6,38,25,23,15,46,8,463,14,42
2011-12,29,DET,NBA,PG,36,514,98%,2%,,,,-3.7,+2.3,27,16,14,6,29,1,153,10,18
2012-13,30,DET,NBA,PG,65,1219,100%,,,,,-6.7,-3.4,60,46,48,8,51,5,536,9,49
2013-14,31,DET,NBA,PG,56,1054,80%,20%,,,,-5.4,-1.9,56,34,42,7,48,4,479,15,30
2014-15,32,WAS,NBA,SG,7,67,75%,25%,,,,-37.6,-39.2,6,1,5,1,1,0,40,0,2
Career,,,NBA,,360,6611,95%,5%,,,,-6.4,-3.4,294,183,204,54,294,28,2709,70,234
,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,DET,NBA,,338,6382,95%,5%,,,,-5.9,-2.8,279,178,196,52,287,27,2628,69,225
1 season,,GSW,NBA,,15,162,100%,,,,,-16.2,-15.0,9,4,3,1,6,1,41,1,7
1 season,,WAS,NBA,,7,67,75%,25%,,,,-37.6,-39.2,6,1,5,1,1,0,40,0,2
