,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2002-03,18,WISCONSIN,32,1016,139,261,18,58,89,130,,189,34,28,10,,,385,.533,.310,.685,31.8,12.0,5.9,1.1
2003-04,19,WISCONSIN,4,83,19,33,3,7,15,22,,18,1,2,0,,,56,.576,.429,.682,20.8,14.0,4.5,0.3
2004-05,20,WISCONSIN,31,983,162,334,23,73,125,183,,189,52,22,2,,,472,.485,.315,.683,31.7,15.2,6.1,1.7
2005-06,21,WISCONSIN,31,1034,222,490,17,68,127,233,,177,53,19,7,,,588,.453,.250,.545,33.4,19.0,5.7,1.7
2006-07,22,WISCONSIN,36,1181,256,545,40,123,164,249,,196,73,33,10,,,716,.470,.325,.659,32.8,19.9,5.4,2.0
Career,,,134,4297,798,1663,101,329,520,817,,769,213,104,29,,,2217,.480,.307,.636,32.1,16.5,5.7,1.6
