Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1977-78,24,BUF,NBA,SF,8,NA,7.9,1.1,2.6,0.429,0.4,0.8,0.5,0.6,0.6,1.3,0.6,0.1,0,0.4,1.1,2.6
Career,NA,,NBA,,8,NA,7.9,1.1,2.6,0.429,0.4,0.8,0.5,0.6,0.6,1.3,0.6,0.1,0,0.4,1.1,2.6
