Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mouhamed Sene,,0.2,0.2,0,NA,NA
Joe Cooper,63.5,0.2,0.1,0,NA,NA
Tom Riker,63.5,0.2,0.2,0,NA,NA
Rich King,43.8,0.2,0.1,0,-0.1,NA
Patrick O'Bryant,41.6,0.3,0.2,0,0,NA
Robert Werdann,41.3,0.2,0,-0.1,NA,NA
Dan O'Sullivan,40.0,0.1,0.1,0,0,NA
Paul Davis,31.0,0.2,0.2,0,0,NA
Matt Fish,22.4,0.4,0.2,0,NA,NA
Ruben Boumtje-Boumtje,17.9,0.2,0,0,NA,NA
Chris Engler,13.9,0.3,0.2,0.2,0,0
