Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
George Peeples,,4.1,3.2,2.1,1.5,0.2,0,NA,NA
Boban Marjanović,86.0,3.4,3,1.7,1.5,NA,NA,NA,NA
Lee Davis,85.0,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1
Bob Hopkins,85.0,3.5,2.7,1.9,1.4,NA,NA,NA,NA
Willie Sojourner,84.8,3.5,3,2.4,1.9,NA,NA,NA,NA
Kleggie Hermsen,80.9,4.3,3,2.9,1.9,-0.5,NA,NA,NA
Miles Plumlee,80.5,4,2.6,2.2,0.9,0.5,0.5,0,NA
Ekpe Udoh,78.5,3.2,2.7,2.1,1.6,0.7,0.3,0,NA
Chris Mihm,78.0,4,3.6,2.9,1.3,0.9,0.7,0.1,0
Bryant Reeves,77.5,4.9,2.9,2.4,2.3,0.6,-0.1,NA,NA
Melvin Turpin,76.3,6,3.1,2.1,1.8,0.8,NA,NA,NA
