Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,24,INA,ABA,C,65,1203,11.6,0.464,0.009,0.555,NA,NA,14.1,3.3,NA,NA,14.4,15.3,NA,0.4,1,1.5,0.059
1968-69,25,INA,ABA,C,64,1111,11.3,0.507,0,0.511,NA,NA,14,3.7,NA,NA,17.7,13.3,NA,0.8,1.3,2.1,0.09
1969-70,26,CAR,ABA,C,83,2220,13,0.467,0.01,0.462,NA,NA,14.4,7.6,NA,NA,15,16.5,NA,0.1,3.1,3.2,0.069
1970-71,27,CAR,ABA,C,82,2220,14.5,0.519,0.001,0.433,NA,NA,15.8,6.4,NA,NA,17.3,18.2,NA,2.1,2,4.1,0.089
1971-72,28,DLC,ABA,C,6,125,9.7,0.486,0,0.44,12,16.3,14.1,5.4,NA,NA,23.2,12.9,NA,0,0.2,0.2,0.074
1972-73,29,INA,ABA,C,9,56,1.1,0.372,0,0.786,5.1,19,12.3,8.6,NA,NA,24.2,16.7,NA,-0.1,0.1,0,-0.03
Career,NA,,ABA,,309,6935,12.8,0.49,0.005,0.475,9.8,17.1,14.7,5.8,NA,NA,16.3,16.3,NA,3.3,7.7,11,0.076
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CAR,ABA,,165,4440,13.7,0.495,0.005,0.447,NA,NA,15.1,7,NA,NA,16.3,17.4,NA,2.2,5.1,7.3,0.079
3 seasons,NA,INA,ABA,,138,2370,11.2,0.48,0.005,0.54,5.1,19,14,3.6,NA,NA,16.1,14.4,NA,1.1,2.4,3.5,0.071
1 season,NA,DLC,ABA,,6,125,9.7,0.486,0,0.44,12,16.3,14.1,5.4,NA,NA,23.2,12.9,NA,0,0.2,0.2,0.074
