Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
George Peeples,,4.1,3.2,2.1,1.5,0.2,0
Luc Longley,88.2,3.5,3.1,2.2,1.8,0.2,0.2
Boban Marjanović,86.0,3.4,3,1.7,1.5,NA,NA
Bob Hopkins,85.0,3.5,2.7,1.9,1.4,NA,NA
Willie Sojourner,84.8,3.5,3,2.4,1.9,NA,NA
Miles Plumlee,84.3,4,2.6,2.2,0.9,0.5,0
Ian Mahinmi,82.3,3.4,3.3,2.3,1.8,0.7,0.2
Nazr Mohammed,81.2,3.7,3.3,2.5,0.4,0,-0.1
Kleggie Hermsen,80.9,4.3,3,2.9,1.9,-0.5,NA
Hank Finkel,80.3,3.4,3.4,2.3,1,0.9,0
Manute Bol,79.5,3.9,2.4,2,1.7,1.3,0
