Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Timothé Luwawu-Cabarrot,,0.8,0.8,0.2,NA,NA,NA
Mark Hendrickson,85.2,0.9,0.8,0.3,0.1,NA,NA
Antonio Lang,82.7,0.8,0.7,0.1,0.1,0,-0.1
James Wilkes,80.0,1.1,0.8,0.1,NA,NA,NA
Dontonio Wingfield,77.3,0.9,0.9,0,-0.1,NA,NA
Ansu Sesay,73.3,0.8,0.5,0.2,-0.1,NA,NA
James Michael McAdoo,72.9,1.1,0.8,0.5,0,NA,NA
Jerrod Mustaf,72.4,0.8,0.5,0.4,0,NA,NA
Cal Bowdler,70.8,1,0.5,0.2,NA,NA,NA
Tom Kozelko,70.5,1,0.7,0.7,NA,NA,NA
Bo Ellis,69.9,1.1,0.9,0.5,NA,NA,NA
