Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Isaiah Rider,,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8,0.2
Blue Edwards,90.2,5.7,5.2,2.9,2.7,2.2,2.1,1.9,1.2,-0.1
Steve Blake,88.4,5.8,3.8,3.3,2.8,2.1,1.8,1,0.7,0.3
Quentin Richardson,87.9,5.8,5.6,3.5,3,2.4,2.1,1,0.7,0.3
Bimbo Coles,87.1,5.7,5,3.2,3,2.8,2.7,1.1,0.9,0.5
Chris Childs,87.0,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1
Jeremy Lin,86.2,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0
Hubert Davis,86.0,5.6,4.8,4.2,3.4,2.5,2.2,1.6,1.2,0.1
Bob Warren,86.0,4.9,4.8,4,2.3,1.6,1.6,0.9,0.6,NA
Martell Webster,85.9,6.3,5,4.4,3.5,1.8,1.5,1.3,0.9,0
Tom Henderson,85.7,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4
