Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Joe Courtney,,0.4,0.1,0,-0.1
Bob Bigelow,62.6,0.4,0,0,0
Scooter McCray,50.1,0.3,0.1,0,NA
Pops Mensah-Bonsu,45.3,0.3,0,0,0
Dan Langhi,45.2,0.4,0,-0.1,-0.1
Ken Durrett,44.5,0.5,0.1,0,0
David Vaughn,44.1,0.4,0.2,0.1,-0.1
Jarnell Stokes,42.9,0.5,0.1,0.1,NA
Josh Huestis,38.0,0.5,0.2,0,NA
Anthony Frederick,36.3,0.5,0.2,0,NA
Jordan Mickey,33.6,0.3,0.1,0.1,NA
