Season,Team,Lg,Salary
1993-94,Phoenix Suns,NBA,"$150,000"
1994-95,Charlotte Hornets,NBA,"$13,158"
1995-96,Cleveland Cavaliers,NBA,"$225,000"
Career,(may be incomplete),,"$388,158"
